Date;Soybean;Soybean Meal;Soybean Oil;Corn;Live Cattle;Feeder Cattle
11/06/2024;1184;369,5;43,29;452,5;183,925;258,65
10/06/2024;1188,25;368;43,66;451,75;183,925;258,65
07/06/2024;1179,25;360,7;43,63;448,75;182,175;254,925
06/06/2024;1200;362,8;44,35;452;181,825;252,85
05/06/2024;1177,25;359,5;43,13;439,25;181,775;254,825
04/06/2024;1179;355,1;43,62;442,5;182,175;256,025
03/06/2024;1184,5;359,5;44,14;443,5;182,025;256,2
31/05/2024;1205;364,7;45,52;446,25;181,55;256,4
30/05/2024;1209,75;363,6;45,72;448,75;182,55;259,075
29/05/2024;1214;369,1;45,88;455,25;183,35;260,25
28/05/2024;1229,5;376,6;45,52;462,5;184,55;264,6
24/05/2024;1248;386,5;44,95;464,75;183,7;260,225
23/05/2024;1239,25;376,7;45,19;464;183,525;250,325
22/05/2024;1246,25;378,2;45,88;461,25;184,175;250,375
21/05/2024;1236,25;372,3;45,81;458;182,975;248,95
20/05/2024;1248;374,1;46,32;460,5;181,475;246,7
17/05/2024;1228;368,8;45,27;452,5;181,05;246,725
16/05/2024;1216,25;367,7;44,52;457;179,025;244,85
15/05/2024;1213,5;371,7;43,55;462,5;178,25;243,15
14/05/2024;1199;363,6;42,68;453,75;178,175;243,275
13/05/2024;1205,5;361,6;44,52;458,5;175,575;239,375
10/05/2024;1205;367;43,81;455,75;176,15;238,8
09/05/2024;1192,75;368;42,01;442,75;175,95;238,65
08/05/2024;1212,75;374,8;43,15;445,5;176,475;240,2
07/05/2024;1232,25;377,4;43,85;453,75;177,625;242,15
06/05/2024;1234,75;381,2;43,17;457;176,975;241,4
03/05/2024;1201,75;366,5;42,42;447;176,675;243,3
02/05/2024;1190;357,1;42,57;452;176,8;243,6
01/05/2024;1155,75;342,6;42,57;443,25;173,85;241,425
30/04/2024;1145,5;346,3;42,29;439,5;185;244,575
29/04/2024;1160,75;348,3;43,69;439,25;185,4;248,025
26/04/2024;1159,5;340;44,93;440;184,675;248,7
25/04/2024;1162,75;343,9;44,82;441;183,95;244,875
24/04/2024;1166;346;44,66;437,75;182,1;243,1
23/04/2024;1167,5;345,2;45,31;443;183,35;243,75
22/04/2024;1161;344,3;45,04;439,75;183,825;242,9
19/04/2024;1150,5;343,7;44,38;433,5;181,475;241,325
18/04/2024;1134,25;338;44,12;426,75;181,175;241,6
17/04/2024;1149,5;338,7;45;430,25;180,9;240,425
16/04/2024;1145;335,3;44,91;431;181,5;240,35
15/04/2024;1158,25;338,5;45,47;431,5;180,3;239,55
12/04/2024;1174;344,4;45,89;435,5;178,9;237,6
11/04/2024;1159,25;335,6;46,02;428,75;180,25;239,175
10/04/2024;1164,75;330,9;47,6;434,25;179,075;238,275
09/04/2024;1174,5;335,6;47,52;431,25;180,7;240,7
08/04/2024;1181,5;336;47,9;435,5;179,4;239,3
05/04/2024;1185;333,1;48,89;434,25;178,25;237,7
04/04/2024;1180;333,5;48,15;435,25;181,475;242,7
03/04/2024;1182,25;330;48,85;431,75;180,925;240,95
02/04/2024;1174;328,3;48,6;426,5;181,775;243,5
01/04/2024;1185,75;333,4;48,24;435,5;180,075;240,425
28/03/2024;1191,5;337,7;47,95;442;185;247,75
27/03/2024;1192,5;339;47,67;426,75;183,6;248,05
26/03/2024;1199;339,8;48,42;432,5;183,1;247,725
