date;country;country_full;consumption;income;deflator;deflator_2;deflator_3;consumption_r;pib_r
2000Q1;SE;Sweden;32334,5;67180;77,67459983;62,94965176;1,588571139;51365,6535;107795
2000Q2;SE;Sweden;34191,3;72967;78,08536676;63,28254868;1,580214484;54029,58748;117810,7
2000Q3;SE;Sweden;33276,9;68671;78,56132065;63,66827492;1,570640953;52266,06193;108633,1
2000Q4;SE;Sweden;35552,3;72755;78,67540941;63,76073563;1,568363336;55758,92381;115482,4
2001Q1;SE;Sweden;33059,8;66688;79,20657867;64,19120994;1,557845694;51502,06708;104967,2
2001Q2;SE;Sweden;34408,8;68824;80,50003435;65,23946232;1,532814595;52742,31083;107782,8
2001Q3;SE;Sweden;33491,2;63022;79,99124037;64,82712156;1,542564248;51662,32773;97679,3
2001Q4;SE;Sweden;35477,9;68627;80,96297399;65,61464145;1,524050087;54070,09657;106042,3
2002Q1;SE;Sweden;33572,1;67262;80,97842651;65,62716461;1,523759263;51155,79836;103619,6
2002Q2;SE;Sweden;35153,9;71870;81,32861891;65,91097025;1,517198118;53335,43091;110565,8
2002Q3;SE;Sweden;34194,2;67666;81,40989883;65,97684175;1,515683342;51827,57933;102947,5
2002Q4;SE;Sweden;36535,7;74118;81,85949807;66,34120946;1,507358711;55072,40567;112898,2
2003Q1;SE;Sweden;33982;71966;82,59984474;66,94120694;1,493848178;50763,94877;106958,3
2003Q2;SE;Sweden;35409,3;74331;82,42671493;66,80089775;1,49698587;53007,22175;111769
2003Q3;SE;Sweden;34976,8;71973;82,95030056;67,22522607;1,487536835;52029,27836;106191,8
2003Q4;SE;Sweden;37195,7;79001;83,09062077;67,33894546;1,48502474;55236,53473;116928,2
2004Q1;SE;Sweden;35168,1;73187;82,79235684;67,0972241;1,490374622;52413,64374;110797,4
2004Q2;SE;Sweden;36363,9;77757;83,07554152;67,32672482;1,485294291;54011,09306;117024,1
2004Q3;SE;Sweden;35934,6;74412;83,59269769;67,74584254;1,476105341;53043,25499;110412,1
2004Q4;SE;Sweden;38318,5;81926;83,11949294;67,36234427;1,484508906;56884,15451;122194,7
2005Q1;SE;Sweden;35681,9;76631;83,12718251;67,36857611;1,484371583;52965,1984;114019,2
2005Q2;SE;Sweden;37685,4;80498;83,35488346;67,55311128;1,480316718;55786,32765;120274,1
2005Q3;SE;Sweden;37295,6;76107;83,9404843;68,02769846;1,469989464;54824,13905;111492,1
2005Q4;SE;Sweden;39653,9;81962;84,39078184;68,39263209;1,462145804;57979,78348;119711
2006Q1;SE;Sweden;37000,6;80586;84,6480902;68,60116192;1,457701258;53935,82115;116207,9
2006Q2;SE;Sweden;38960,1;84981;85,03530495;68,9149715;1,451063504;56533,57921;124078,7
2006Q3;SE;Sweden;38156,4;83222;85,11239705;68,97744908;1,449749176;55317,20947;118659,8
2006Q4;SE;Sweden;40808,5;91845;85,73918631;69,48541649;1,439150905;58729,58969;130057,8
2007Q1;SE;Sweden;38403,7;88761;86,75572585;70,30924836;1,422287997;54621,12154;123453,5
2007Q2;SE;Sweden;40323,1;90838;87,36954856;70,80670732;1,412295583;56948,13602;128870,7
2007Q3;SE;Sweden;40020,6;88179;87,2696058;70,72571093;1,41391297;56585,64541;121839,6
2007Q4;SE;Sweden;42555,1;96283;88,63256;71,83028685;1,392170412;59243,95108;131821,1
2008Q1;SE;Sweden;39352,6;90695;89,28709353;72,36073899;1,38196488;54383,91115;121720,6
2008Q2;SE;Sweden;41484,8;94018;89,45041559;72,49309972;1,379441635;57225,86034;130321,1
2008Q3;SE;Sweden;39906,5;89950;90,56453876;73,39601606;1,362471771;54371,47974;119426,2
2008Q4;SE;Sweden;41187,7;86447;92,23213586;74,74748304;1,337837689;55102,4574;113794,7
2009Q1;SE;Sweden;39064,8;73927;92,04849529;74,59865562;1,340506731;52366,62735;98721,9
2009Q2;SE;Sweden;41662,7;80139;92,35874932;74,8500941;1,336003664;55661,51987;106303,7
